Values below show absolute/relative times spend per server step by the instrumented function.
A total of 1181 samples were taken


 instrumentation                                         |    min µs |    max µs |    avg µs | min % | max % | avg %
-------------------------------------------------------- | --------- | --------- | --------- | ----- | ----- | ------
 poshud:                                                 |        72 |     11320 |       198 |   0.0 |  26.5 |   0.6
  - globalstep[1] .....................................  |        72 |     11320 |       198 |   0.0 |  26.5 |   0.6
  - on_leaveplayer[1] .................................  |         6 |         9 |         7 |   0.0 |   0.1 |   0.0
 flowers:                                                |         0 |     24663 |       236 |   0.0 |  16.2 |   0.1
  - ABM 'Flower spread' ...............................  |        10 |     24663 |      4492 |   0.0 |  16.2 |   2.6
 anvil:                                                  |         0 |        83 |         0 |   0.0 |   0.1 |   0.0
  - on_activate[1] ....................................  |         7 |        16 |        11 |   0.0 |   0.0 |   0.0
  - LBM 'anvil:anvil_item_restoration' ................  |        10 |        75 |        38 |   0.0 |   0.1 |   0.0
  - get_staticdata[1] .................................  |         1 |        59 |         6 |   0.0 |   0.1 |   0.0
 spacesuit:                                              |         0 |      6711 |       183 |   0.0 |  18.0 |   0.3
  - globalstep[1] .....................................  |         1 |      6711 |       194 |   0.0 |  18.0 |   0.3
  - on_leaveplayer[1] .................................  |         2 |         2 |         2 |   0.0 |   0.0 |   0.0
 unified_inventory:                                      |        31 |     15418 |       107 |   0.0 |  33.3 |   0.3
  - on_leaveplayer[1] .................................  |         1 |         2 |         1 |   0.0 |   0.0 |   0.0
  - on_player_receive_fields[2] .......................  |         1 |        11 |         2 |   0.0 |   0.0 |   0.0
  - on_player_receive_fields[3] .......................  |         1 |      2999 |       100 |   0.0 |  20.0 |   0.5
  - on_joinplayer[3] ..................................  |         5 |         5 |         5 |   0.0 |   0.0 |   0.0
  - globalstep[1] .....................................  |        31 |     13400 |        80 |   0.0 |  33.3 |   0.2
  - on_joinplayer[2] ..................................  |       259 |       259 |       259 |   0.2 |   0.2 |   0.2
  - on_joinplayer[1] ..................................  |     11614 |     11614 |     11614 |   9.4 |   9.4 |   9.4
