Values below show absolute/relative times spend per server step by the instrumented function.
A total of 12997 samples were taken


 instrumentation                                         |    min µs |    max µs |    avg µs | min % | max % | avg %
-------------------------------------------------------- | --------- | --------- | --------- | ----- | ----- | ------
 poshud:                                                 |        55 |     11437 |       181 |   0.0 |  44.4 |   1.3
  - globalstep[1] .....................................  |        55 |     11437 |       181 |   0.0 |  44.4 |   1.3
  - on_leaveplayer[1] .................................  |         5 |        10 |         7 |   0.0 |   0.2 |   0.1
 ccompass:                                               |         0 |     72026 |       169 |   0.0 |  41.5 |   0.6
  - globalstep[1] .....................................  |         1 |     72026 |       168 |   0.0 |  41.5 |   0.6
  - on_player_receive_fields[1] .......................  |         1 |       304 |         2 |   0.0 |   2.1 |   0.0
 bones:                                                  |         0 |       901 |         0 |   0.0 |   0.9 |   0.0
  - on_dieplayer[1] ...................................  |        11 |       901 |        87 |   0.0 |   0.9 |   0.1
 mobs_fish:                                              |         0 |      7599 |        36 |   0.0 |  29.3 |   0.2
  - on_step[2] ........................................  |         1 |      7588 |        31 |   0.0 |  29.3 |   0.2
  - on_activate[2] ....................................  |        36 |       114 |        53 |   0.0 |   0.1 |   0.1
  - on_activate[1] ....................................  |        40 |       660 |       126 |   0.0 |   0.3 |   0.1
  - ABM 'mobs_fish:tropical spawning' .................  |         2 |      1162 |       259 |   0.0 |   1.2 |   0.3
  - get_staticdata[1] .................................  |         7 |       772 |       123 |   0.0 |   0.7 |   0.1
  - on_step[1] ........................................  |         2 |      3332 |        31 |   0.0 |  20.1 |   0.2
  - get_staticdata[2] .................................  |         5 |       579 |       114 |   0.0 |   0.4 |   0.1
  - ABM 'mobs_fish:clownfish spawning' ................  |         4 |      2006 |       349 |   0.0 |   1.1 |   0.3
 spacesuit:                                              |         0 |     20258 |       142 |   0.0 |  41.5 |   0.5
  - globalstep[1] .....................................  |         1 |     20258 |       148 |   0.0 |  41.5 |   0.5
  - on_leaveplayer[1] .................................  |         1 |         3 |         2 |   0.0 |   0.0 |   0.0
 unified_inventory:                                      |        29 |    240946 |       288 |   0.0 |  95.3 |   0.9
  - on_leaveplayer[1] .................................  |         1 |        88 |        12 |   0.0 |   0.2 |   0.0
  - on_player_receive_fields[2] .......................  |         1 |    239135 |      2041 |   0.0 |  95.2 |   3.2
  - on_player_receive_fields[3] .......................  |         1 |      2441 |        42 |   0.0 |  21.8 |   0.3
  - on_joinplayer[3] ..................................  |         5 |        92 |        23 |   0.0 |   0.0 |   0.0
  - globalstep[1] .....................................  |        28 |     38810 |        79 |   0.0 |  65.7 |   0.5
  - on_joinplayer[2] ..................................  |       154 |      2508 |      1077 |   0.1 |   1.1 |   0.7
  - on_joinplayer[1] ..................................  |      9099 |    235686 |     59430 |   5.8 |  50.9 |  30.0
  - on_leaveplayer[2] .................................  |         1 |         2 |         1 |   0.0 |   0.0 |   0.0
  - on_joinplayer[4] ..................................  |      2422 |      4379 |      3119 |   0.5 |  10.3 |   3.7
  - on_player_receive_fields[1] .......................  |         4 |     29159 |       487 |   0.0 |  72.9 |   2.7
  - on_player_receive_fields[4] .......................  |         1 |      1718 |        30 |   0.0 |   9.9 |   0.2
 mesecons_detector:                                      |         0 |     12009 |        60 |   0.0 |   6.9 |   0.1
  - ABM[4] ............................................  |         9 |      1544 |        49 |   0.0 |   1.7 |   0.1
  - ABM[1] ............................................  |        12 |     11983 |       498 |   0.0 |   6.8 |   0.5
  - ABM[3] ............................................  |        16 |      1397 |        58 |   0.0 |   0.9 |   0.1
  - ABM[2] ............................................  |        48 |       419 |       161 |   0.1 |   0.4 |   0.2
 xpanes:                                                 |         0 |      1877 |         6 |   0.0 |   6.6 |   0.0
  - on_placenode[1] ...................................  |         9 |       498 |        58 |   0.0 |   4.7 |   0.5
  - on_dignode[1] .....................................  |         6 |      1877 |        74 |   0.0 |   6.6 |   0.4
 pipeworks:                                              |        34 |    273778 |      5122 |   0.0 |  96.3 |  26.6
  - ABM[7] ............................................  |         4 |       432 |        10 |   0.0 |   0.4 |   0.0
  - ABM[4] ............................................  |        59 |     42969 |       838 |   0.0 |  33.8 |   0.7
  - globalstep[2] .....................................  |        16 |     22423 |       194 |   0.0 |  56.5 |   1.2
  - globalstep[1] .....................................  |         1 |    262927 |      4823 |   0.0 |  95.2 |  25.3
  - ABM 'Vacuum tubes' ................................  |        69 |     26926 |       688 |   0.0 |  28.4 |   0.8
