Values below show absolute/relative times spend per server step by the instrumented function.
A total of 1017 samples were taken


 instrumentation                                         |    min µs |    max µs |    avg µs | min % | max % | avg %
-------------------------------------------------------- | --------- | --------- | --------- | ----- | ----- | ------
 poshud:                                                 |        72 |      4635 |       193 |   0.0 |   7.0 |   0.8
  - globalstep[1] .....................................  |        72 |      4635 |       193 |   0.0 |   7.0 |   0.8
  - on_leaveplayer[1] .................................  |        10 |        10 |        10 |   0.0 |   0.0 |   0.0
 flowers:                                                |         0 |      5354 |        23 |   0.0 |   3.7 |   0.0
  - ABM 'Mushroom spread' .............................  |        85 |        85 |        85 |   0.1 |   0.1 |   0.1
  - ABM 'Flower spread' ...............................  |        11 |      5354 |       591 |   0.0 |   3.7 |   0.5
 bones:                                                  |         0 |        10 |         0 |   0.0 |   0.0 |   0.0
  - on_dieplayer[1] ...................................  |        10 |        10 |        10 |   0.0 |   0.0 |   0.0
 mobs_fish:                                              |         2 |      4082 |        73 |   0.0 |  42.2 |   0.3
  - on_step[2] ........................................  |         1 |      4068 |        30 |   0.0 |  42.0 |   0.1
  - on_activate[2] ....................................  |        33 |        33 |        33 |   0.0 |   0.0 |   0.0
  - get_staticdata[2] .................................  |        12 |       152 |        82 |   0.0 |   0.1 |   0.1
  - ABM 'mobs_fish:tropical spawning' .................  |        85 |       336 |       210 |   0.1 |   0.2 |   0.2
  - on_activate[1] ....................................  |       149 |       149 |       149 |   0.0 |   0.0 |   0.0
  - on_step[1] ........................................  |         1 |      1495 |        38 |   0.0 |   2.9 |   0.1
  - get_staticdata[1] .................................  |       114 |       981 |       547 |   0.1 |   0.2 |   0.2
  - ABM 'mobs_fish:clownfish spawning' ................  |        73 |      1602 |       490 |   0.1 |   0.4 |   0.2
 spacesuit:                                              |         0 |      5261 |       117 |   0.0 |   9.8 |   0.3
  - globalstep[1] .....................................  |         1 |      5261 |       124 |   0.0 |   9.8 |   0.3
  - on_leaveplayer[1] .................................  |         4 |         4 |         4 |   0.0 |   0.0 |   0.0
 unified_inventory:                                      |        36 |     66931 |       257 |   0.0 |  85.0 |   0.7
  - globalstep[1] .....................................  |        36 |      5210 |        86 |   0.0 |   9.3 |   0.4
  - on_player_receive_fields[2] .......................  |         1 |     66778 |      3518 |   0.0 |  84.8 |   6.1
  - on_leaveplayer[1] .................................  |         4 |         4 |         4 |   0.0 |   0.0 |   0.0
  - on_player_receive_fields[3] .......................  |         1 |        60 |         5 |   0.0 |   0.4 |   0.0
  - on_leaveplayer[2] .................................  |         5 |         5 |         5 |   0.0 |   0.0 |   0.0
  - on_player_receive_fields[1] .......................  |         5 |     26170 |      1545 |   0.0 |  73.3 |   4.7
  - on_player_receive_fields[4] .......................  |         1 |       261 |        36 |   0.0 |   0.4 |   0.1
 mesecons_detector:                                      |         0 |      8461 |        92 |   0.0 |   4.9 |   0.1
  - ABM[4] ............................................  |        29 |       839 |        86 |   0.0 |   0.5 |   0.1
  - ABM[1] ............................................  |       225 |      8386 |       594 |   0.1 |   4.8 |   0.5
  - ABM[3] ............................................  |        24 |       882 |        84 |   0.0 |   0.9 |   0.1
 xpanes:                                                 |         0 |      7056 |        20 |   0.0 |  55.4 |   0.1
  - on_placenode[1] ...................................  |         8 |      7056 |       118 |   0.0 |  55.4 |   0.8
  - on_dignode[1] .....................................  |         7 |      1005 |       112 |   0.0 |   4.6 |   0.5
 pipeworks:                                              |       340 |    190132 |     13244 |   0.2 |  92.9 |  42.5
  - ABM[7] ............................................  |         4 |       194 |        11 |   0.0 |   0.1 |   0.0
  - get_staticdata[1] .................................  |         1 |       294 |        28 |   0.0 |   0.4 |   0.0
  - globalstep[2] .....................................  |       235 |     47274 |       755 |   0.1 |  82.8 |   2.8
  - globalstep[1] .....................................  |         1 |    188172 |     12409 |   0.0 |  91.8 |  39.6
  - ABM 'Vacuum tubes' ................................  |       181 |     10199 |       477 |   0.1 |   5.6 |   0.4
  - on_activate[1] ....................................  |         1 |       197 |        26 |   0.0 |   0.2 |   0.0
  - ABM[6] ............................................  |         8 |        67 |        22 |   0.0 |   0.1 |   0.0
  - on_player_receive_fields[1] .......................  |         1 |       238 |        14 |   0.0 |   0.9 |   0.1
  - ABM[5] ............................................  |        31 |       755 |        91 |   0.0 |   0.9 |   0.1
 digiterms:                                              |         0 |         4 |         0 |   0.0 |   0.0 |   0.0
  - on_player_receive_fields[1] .......................  |         1 |         4 |         1 |   0.0 |   0.0 |   0.0
  - on_leaveplayer[1] .................................  |         2 |         2 |         2 |   0.0 |   0.0 |   0.0
 wieldview:                                              |         0 |     27464 |       136 |   0.0 |  18.6 |   0.1
  - globalstep[1] .....................................  |         1 |     27464 |       139 |   0.0 |  18.6 |   0.1
 atm:                                                    |         0 |       116 |         1 |   0.0 |   1.4 |   0.0
  - globalstep[1] .....................................  |         1 |       116 |         1 |   0.0 |   1.4 |   0.0
  - on_player_receive_fields[1] .......................  |         1 |         4 |         1 |   0.0 |   0.0 |   0.0
 technic:                                                |         2 |    260073 |      6177 |   0.0 |  73.8 |   5.0
  - ABM 'Machines: run power monitor' .................  |        41 |       275 |        73 |   0.0 |   0.3 |   0.1
  - ABM 'Switching Station' ...........................  |     21512 |    224253 |     43310 |  11.2 |  64.6 |  34.9
  - ABM 'Tools: tree tap' .............................  |        23 |        32 |        27 |   0.0 |   0.0 |   0.0
  - globalstep[2] .....................................  |         1 |       345 |         5 |   0.0 |   0.9 |   0.0
  - on_dieplayer[1] ...................................  |         3 |         3 |         3 |   0.0 |   0.0 |   0.0
  - ABM 'Radiation damage' ............................  |       268 |      3642 |       646 |   0.1 |   2.3 |   0.5
  - ABM 'Machines: reactor melt-down check' ...........  |       581 |      9126 |      2544 |   0.3 |   4.3 |   1.8
  - ABM 'Machines: run injector' ......................  |       331 |      8106 |       758 |   0.2 |   5.0 |   0.6
  - globalstep[1] .....................................  |         1 |       141 |         2 |   0.0 |   1.2 |   0.0
  - ABM 'Machines: timeout check' .....................  |      2476 |     33922 |      5042 |   1.0 |  10.5 |   4.0
  - on_player_receive_fields[2] .......................  |         1 |         3 |         1 |   0.0 |   0.0 |   0.0
  - on_dignode[1] .....................................  |         3 |        14 |         4 |   0.0 |   0.1 |   0.0
  - on_placenode[1] ...................................  |         2 |        79 |         7 |   0.0 |   0.6 |   0.0
  - ABM 'Machines: run coal alloy furnace' ............  |       130 |     11784 |       414 |   0.1 |   1.7 |   0.3
  - on_player_receive_fields[1] .......................  |         1 |         3 |         1 |   0.0 |   0.0 |   0.0
  - ABM 'Machines: re-enable check' ...................  |       166 |      6180 |       488 |   0.1 |   6.1 |   0.4
