Values below show absolute/relative times spend per server step by the instrumented function.
A total of 284 samples were taken


 instrumentation                                         |    min µs |    max µs |    avg µs | min % | max % | avg %
-------------------------------------------------------- | --------- | --------- | --------- | ----- | ----- | ------
 poshud:                                                 |        72 |      4635 |       228 |   0.0 |   7.0 |   0.8
  - globalstep[1] .....................................  |        72 |      4635 |       228 |   0.0 |   7.0 |   0.8
 flowers:                                                |         0 |      5354 |        60 |   0.0 |   3.7 |   0.0
  - ABM 'Flower spread' ...............................  |        17 |      5354 |      2374 |   0.0 |   3.7 |   1.7
 bones:                                                  |         0 |        10 |         0 |   0.0 |   0.0 |   0.0
  - on_dieplayer[1] ...................................  |        10 |        10 |        10 |   0.0 |   0.0 |   0.0
 mobs_fish:                                              |         4 |      2751 |       106 |   0.0 |   3.1 |   0.3
  - on_step[2] ........................................  |         2 |       942 |        38 |   0.0 |   1.9 |   0.1
  - on_activate[2] ....................................  |        33 |        33 |        33 |   0.0 |   0.0 |   0.0
  - get_staticdata[2] .................................  |       152 |       152 |       152 |   0.1 |   0.1 |   0.1
  - ABM 'mobs_fish:tropical spawning' .................  |       336 |       336 |       336 |   0.2 |   0.2 |   0.2
  - on_activate[1] ....................................  |       149 |       149 |       149 |   0.0 |   0.0 |   0.0
  - on_step[1] ........................................  |         2 |      1495 |        56 |   0.0 |   2.9 |   0.2
  - get_staticdata[1] .................................  |       981 |       981 |       981 |   0.2 |   0.2 |   0.2
  - ABM 'mobs_fish:clownfish spawning' ................  |      1602 |      1602 |      1602 |   0.4 |   0.4 |   0.4
 spacesuit:                                              |         0 |      3810 |       141 |   0.0 |   6.5 |   0.2
  - globalstep[1] .....................................  |         1 |      3810 |       151 |   0.0 |   6.5 |   0.3
 unified_inventory:                                      |        39 |     32122 |       327 |   0.0 |  64.5 |   0.9
  - globalstep[1] .....................................  |        39 |       544 |        76 |   0.0 |   2.6 |   0.3
  - on_player_receive_fields[2] .......................  |         2 |     31889 |      5278 |   0.0 |  64.0 |  12.2
  - on_player_receive_fields[3] .......................  |         2 |        60 |         8 |   0.0 |   0.4 |   0.1
  - on_player_receive_fields[1] .......................  |         6 |     12289 |      1803 |   0.0 |  25.5 |   5.3
  - on_player_receive_fields[4] .......................  |        14 |        85 |        31 |   0.0 |   0.3 |   0.1
 mesecons_detector:                                      |         0 |      2912 |        76 |   0.0 |   1.8 |   0.1
  - ABM[4] ............................................  |        31 |       552 |        90 |   0.0 |   0.5 |   0.1
  - ABM[1] ............................................  |       258 |      2202 |       483 |   0.1 |   0.9 |   0.3
  - ABM[3] ............................................  |        30 |       360 |        82 |   0.0 |   0.7 |   0.1
 xpanes:                                                 |         0 |       432 |        19 |   0.0 |   4.0 |   0.1
  - on_placenode[1] ...................................  |        10 |       432 |        87 |   0.0 |   4.0 |   0.5
  - on_dignode[1] .....................................  |         9 |         9 |         9 |   0.1 |   0.1 |   0.1
 pipeworks:                                              |       340 |     68128 |     13916 |   0.3 |  92.9 |  43.0
  - ABM[7] ............................................  |         4 |        42 |         8 |   0.0 |   0.0 |   0.0
  - get_staticdata[1] .................................  |         2 |       143 |        30 |   0.0 |   0.1 |   0.0
  - globalstep[2] .....................................  |       235 |     47274 |       924 |   0.1 |  82.8 |   3.0
  - globalstep[1] .....................................  |         1 |     65473 |     12930 |   0.0 |  88.4 |  39.9
  - ABM 'Vacuum tubes' ................................  |       231 |       770 |       349 |   0.1 |   0.7 |   0.3
  - on_activate[1] ....................................  |         1 |        79 |        23 |   0.0 |   0.1 |   0.0
  - ABM[6] ............................................  |        28 |        67 |        47 |   0.0 |   0.0 |   0.0
  - on_player_receive_fields[1] .......................  |         1 |         2 |         1 |   0.0 |   0.0 |   0.0
  - ABM[5] ............................................  |        32 |       755 |        93 |   0.0 |   0.9 |   0.1
 digiterms:                                              |         0 |         3 |         0 |   0.0 |   0.0 |   0.0
  - on_player_receive_fields[1] .......................  |         1 |         3 |         1 |   0.0 |   0.0 |   0.0
 wieldview:                                              |         0 |      9675 |       109 |   0.0 |   7.0 |   0.1
  - globalstep[1] .....................................  |         1 |      9675 |       110 |   0.0 |   7.0 |   0.1
 atm:                                                    |         0 |       116 |         1 |   0.0 |   0.1 |   0.0
  - globalstep[1] .....................................  |         1 |       116 |         1 |   0.0 |   0.1 |   0.0
  - on_player_receive_fields[1] .......................  |         1 |         3 |         1 |   0.0 |   0.0 |   0.0
 technic:                                                |         2 |    163229 |      5520 |   0.0 |  68.6 |   3.8
  - ABM 'Machines: run power monitor' .................  |        41 |       266 |        82 |   0.0 |   0.2 |   0.1
  - ABM 'Switching Station' ...........................  |     22129 |    113557 |     38070 |  11.2 |  56.5 |  26.6
  - globalstep[2] .....................................  |         1 |       102 |         5 |   0.0 |   0.3 |   0.0
  - on_dieplayer[1] ...................................  |         3 |         3 |         3 |   0.0 |   0.0 |   0.0
  - ABM 'Radiation damage' ............................  |       268 |      3642 |       886 |   0.2 |   1.4 |   0.6
  - ABM 'Machines: reactor melt-down check' ...........  |      1140 |      9126 |      3812 |   0.8 |   2.2 |   1.6
  - ABM 'Machines: run injector' ......................  |       331 |      4507 |       695 |   0.2 |   4.7 |   0.5
  - globalstep[1] .....................................  |         1 |        31 |         2 |   0.0 |   0.1 |   0.0
  - ABM 'Machines: timeout check' .....................  |      2653 |     33922 |      5851 |   1.6 |   8.5 |   3.7
  - on_player_receive_fields[2] .......................  |         1 |         2 |         1 |   0.0 |   0.0 |   0.0
  - on_dignode[1] .....................................  |         3 |         3 |         3 |   0.0 |   0.0 |   0.0
  - on_placenode[1] ...................................  |         3 |        79 |         8 |   0.0 |   0.6 |   0.0
  - ABM 'Machines: run coal alloy furnace' ............  |       138 |      1378 |       346 |   0.1 |   0.9 |   0.2
