Values below show absolute/relative times spend per server step by the instrumented function.
A total of 259 samples were taken


 instrumentation                                         |    min µs |    max µs |    avg µs | min % | max % | avg %
-------------------------------------------------------- | --------- | --------- | --------- | ----- | ----- | ------
 poshud:                                                 |        56 |      5118 |       206 |   0.0 |  18.6 |   0.5
  - globalstep[1] .....................................  |        56 |      5118 |       206 |   0.0 |  18.6 |   0.5
 ccompass:                                               |         1 |      3358 |       119 |   0.0 |   2.1 |   0.1
  - globalstep[1] .....................................  |         1 |      3358 |       119 |   0.0 |   2.1 |   0.1
  - on_player_receive_fields[1] .......................  |         1 |         2 |         1 |   0.0 |   0.0 |   0.0
 mobs_fish:                                              |        12 |      1274 |       155 |   0.0 |   3.7 |   0.3
  - on_step[2] ........................................  |         6 |       863 |        81 |   0.0 |   1.7 |   0.2
  - get_staticdata[2] .................................  |       193 |       367 |       280 |   0.2 |   0.4 |   0.3
  - ABM 'mobs_fish:clownfish spawning' ................  |       193 |       193 |       193 |   0.2 |   0.2 |   0.2
  - ABM 'mobs_fish:tropical spawning' .................  |       669 |       669 |       669 |   0.5 |   0.5 |   0.5
  - on_activate[1] ....................................  |        95 |        95 |        95 |   0.1 |   0.1 |   0.1
  - on_step[1] ........................................  |         6 |       697 |        65 |   0.0 |   2.0 |   0.1
  - get_staticdata[1] .................................  |       113 |       359 |       236 |   0.1 |   0.3 |   0.2
  - on_activate[2] ....................................  |       167 |       167 |       167 |   0.2 |   0.2 |   0.2
 spacesuit:                                              |         1 |      6843 |       204 |   0.0 |  12.0 |   0.4
  - globalstep[1] .....................................  |         1 |      6843 |       204 |   0.0 |  12.0 |   0.4
 unified_inventory:                                      |        31 |     21859 |       231 |   0.0 |  32.6 |   0.6
  - globalstep[1] .....................................  |        31 |       485 |        81 |   0.0 |   1.7 |   0.2
  - on_player_receive_fields[2] .......................  |         3 |        32 |         7 |   0.0 |   0.1 |   0.0
  - on_player_receive_fields[3] .......................  |         2 |      2168 |       227 |   0.0 |   5.1 |   0.6
  - on_player_receive_fields[1] .......................  |         7 |     21729 |      3612 |   0.0 |  32.4 |   9.2
  - on_player_receive_fields[4] .......................  |         1 |        61 |        31 |   0.0 |   0.3 |   0.1
 mesecons_detector:                                      |         0 |      1307 |        62 |   0.0 |   0.6 |   0.1
  - ABM[1] ............................................  |       192 |      1307 |       386 |   0.1 |   0.6 |   0.3
 advtrains_train_steam:                                  |        67 |      1541 |       276 |   0.0 |   4.7 |   0.6
  - on_step[1] ........................................  |        67 |      1541 |       276 |   0.0 |   4.7 |   0.6
 pipeworks:                                              |       256 |     82222 |     10430 |   0.2 |  68.9 |  18.8
