Values below show absolute/relative times spend per server step by the instrumented function.
A total of 115020 samples were taken


 instrumentation                                         |    min µs |    max µs |    avg µs | min % | max % | avg %
-------------------------------------------------------- | --------- | --------- | --------- | ----- | ----- | ------
 flowers:                                                |         0 |     14294 |         3 |   0.0 |  14.0 |   0.0
  - ABM 'Mushroom spread' .............................  |        27 |       164 |        67 |   0.0 |   0.2 |   0.1
  - ABM 'Flower spread' ...............................  |        11 |     14294 |       356 |   0.0 |  14.0 |   0.4
 bones:                                                  |         0 |     17568 |         0 |   0.0 |  30.1 |   0.0
  - on_dieplayer[1] ...................................  |       262 |     17568 |      2701 |   0.1 |  30.1 |   6.0
 mobs_fish:                                              |         0 |     65516 |        57 |   0.0 |  63.9 |   0.1
  - on_step[2] ........................................  |         2 |     41482 |        62 |   0.0 |  43.8 |   0.1
  - on_punch[1] .......................................  |       707 |       707 |       707 |   2.4 |   2.4 |   2.4
  - get_staticdata[1] .................................  |         5 |     19222 |       432 |   0.0 |  14.4 |   0.4
  - ABM 'mobs_fish:clownfish spawning' ................  |         2 |      3105 |       654 |   0.0 |   4.9 |   0.7
  - ABM 'mobs_fish:tropical spawning' .................  |         5 |      3159 |       652 |   0.0 |   4.0 |   0.7
  - on_activate[1] ....................................  |        36 |     12406 |       288 |   0.0 |   5.2 |   0.2
  - on_step[1] ........................................  |         1 |     65516 |        56 |   0.0 |  63.9 |   0.1
  - on_activate[2] ....................................  |        32 |       880 |       118 |   0.0 |   0.6 |   0.1
  - get_staticdata[2] .................................  |         6 |      2355 |       186 |   0.0 |   3.3 |   0.2
 spacesuit:                                              |         0 |     75082 |       104 |   0.0 |  59.4 |   0.2
  - globalstep[1] .....................................  |         1 |     75082 |       104 |   0.0 |  59.4 |   0.2
  - on_leaveplayer[1] .................................  |         2 |         4 |         2 |   0.0 |   0.0 |   0.0
 planetoidgen:                                           |         0 |      2769 |         0 |   0.0 |   0.8 |   0.0
  - on_generated[1] ...................................  |        31 |      2769 |       483 |   0.0 |   0.8 |   0.2
 advtrains_train_steam:                                  |        34 |     98590 |      1423 |   0.0 |  84.6 |   2.6
