Values below show absolute/relative times spend per server step by the instrumented function.
A total of 4164 samples were taken


 instrumentation                                         |    min µs |    max µs |    avg µs | min % | max % | avg %
-------------------------------------------------------- | --------- | --------- | --------- | ----- | ----- | ------
 ccompass:                                               |         1 |     25405 |       257 |   0.0 |  89.3 |   8.2
  - globalstep[1] .....................................  |         1 |     25405 |       257 |   0.0 |  89.3 |   8.2
  - on_player_receive_fields[1] .......................  |         1 |         9 |         2 |   0.0 |   0.2 |   0.0
 bones:                                                  |         0 |        11 |         0 |   0.0 |   0.2 |   0.0
  - on_dieplayer[1] ...................................  |        11 |        11 |        11 |   0.2 |   0.2 |   0.2
 anvil:                                                  |         0 |        36 |         0 |   0.0 |   0.3 |   0.0
  - on_activate[1] ....................................  |        13 |        13 |        13 |   0.1 |   0.1 |   0.1
  - LBM 'anvil:anvil_item_restoration' ................  |         8 |        36 |        21 |   0.2 |   0.3 |   0.2
  - get_staticdata[1] .................................  |         2 |         6 |         4 |   0.0 |   0.0 |   0.0
 spacesuit:                                              |         0 |      9803 |        19 |   0.0 |  42.4 |   0.4
  - globalstep[1] .....................................  |         1 |      9803 |        19 |   0.0 |  42.4 |   0.4
 unified_inventory:                                      |         1 |    104662 |        78 |   0.0 |  87.9 |   0.8
  - on_player_receive_fields[2] .......................  |         1 |        11 |         3 |   0.0 |   0.3 |   0.1
  - on_player_receive_fields[3] .......................  |         1 |      3041 |       330 |   0.0 |  41.0 |   4.2
  - on_joinplayer[3] ..................................  |         6 |         8 |         7 |   0.0 |   0.0 |   0.0
  - globalstep[1] .....................................  |         1 |       427 |        17 |   0.0 |  20.3 |   0.6
  - on_joinplayer[2] ..................................  |       322 |      1138 |       629 |   0.7 |   2.7 |   1.3
  - on_joinplayer[1] ..................................  |     13321 |     99004 |     43141 |  45.1 |  83.1 |  60.3
  - on_player_receive_fields[4] .......................  |         1 |       149 |        19 |   0.0 |   2.0 |   0.3
  - on_player_receive_fields[1] .......................  |         5 |      4373 |       132 |   0.1 |  13.8 |   0.7
  - on_joinplayer[4] ..................................  |      2623 |      4504 |      3430 |   3.8 |  13.2 |   7.6
 mesecons_detector:                                      |         0 |       486 |         3 |   0.0 |   9.4 |   0.0
  - ABM[1] ............................................  |        11 |       241 |        54 |   0.0 |   9.4 |   0.7
  - ABM[3] ............................................  |        18 |       152 |        52 |   0.0 |   2.0 |   0.4
  - ABM[2] ............................................  |        60 |       460 |       130 |   0.3 |   1.0 |   0.7
 advtrains_train_steam:                                  |         0 |       543 |         0 |   0.0 |  21.6 |   0.0
  - on_step[2] ........................................  |        90 |       325 |       167 |   0.8 |  13.3 |   7.1
  - get_staticdata[3] .................................  |         5 |        86 |        45 |   0.0 |   2.3 |   1.2
  - get_staticdata[2] .................................  |        19 |        49 |        34 |   0.0 |   1.3 |   0.7
  - on_activate[3] ....................................  |         4 |         4 |         4 |   0.0 |   0.0 |   0.0
  - on_step[3] ........................................  |        37 |       155 |        81 |   0.1 |   9.8 |   4.1
  - on_activate[2] ....................................  |         7 |         7 |         7 |   0.0 |   0.0 |   0.0
 pipeworks:                                              |        13 |     26606 |       845 |   0.1 |  95.8 |  24.0
  - globalstep[1] .....................................  |         1 |     26544 |       817 |   0.0 |  95.7 |  23.1
  - ABM 'Vacuum tubes' ................................  |        21 |      7047 |       165 |   0.0 |  58.5 |   2.0
  - on_activate[1] ....................................  |         2 |        12 |         6 |   0.0 |   0.1 |   0.1
  - get_staticdata[1] .................................  |         2 |        69 |        15 |   0.0 |   0.5 |   0.2
  - on_player_receive_fields[1] .......................  |         1 |       694 |       167 |   0.0 |  24.0 |   4.5
  - globalstep[2] .....................................  |         5 |      4114 |        24 |   0.0 |  75.4 |   0.8
 worldedit_commands:                                     |         0 |        90 |         0 |   0.0 |   2.6 |   0.0
  - on_punchnode[1] ...................................  |         2 |        89 |         6 |   0.0 |   1.3 |   0.2
  - on_player_receive_fields[1] .......................  |         1 |         5 |         1 |   0.0 |   0.1 |   0.0
  - on_punchnode[2] ...................................  |         1 |        68 |         5 |   0.0 |   2.4 |   0.2
 wieldview:                                              |         0 |     14479 |         6 |   0.0 |  59.7 |   0.1
  - globalstep[1] .....................................  |         1 |     14479 |         6 |   0.0 |  59.7 |   0.1
  - on_joinplayer[1] ..................................  |         3 |         9 |         5 |   0.0 |   0.0 |   0.0
 atm:                                                    |         0 |     10668 |         8 |   0.0 |  18.5 |   0.1
  - globalstep[1] .....................................  |         1 |        80 |         1 |   0.0 |   4.8 |   0.1
  - on_player_receive_fields[1] .......................  |         1 |         7 |         1 |   0.0 |   0.1 |   0.0
  - on_joinplayer[1] ..................................  |      2716 |     10666 |      5519 |   5.6 |  18.5 |  10.6
 wine:                                                   |         0 |        59 |         0 |   0.0 |   2.2 |   0.0
  - ABM 'Blue Agave growth' ...........................  |        21 |        59 |        41 |   0.3 |   2.2 |   0.8
 advtrains_train_industrial:                             |         0 |        72 |         0 |   0.0 |   4.5 |   0.0
  - on_activate[1] ....................................  |         3 |        22 |        12 |   0.0 |   0.1 |   0.0
  - on_step[1] ........................................  |         7 |        72 |        19 |   0.1 |   4.5 |   0.9
  - get_staticdata[1] .................................  |         4 |        15 |         8 |   0.0 |   0.1 |   0.1
 technic:                                                |         1 |     51858 |       351 |   0.0 |  93.7 |   2.4
  - on_player_receive_fields[2] .......................  |         1 |        10 |         3 |   0.0 |   0.7 |   0.1
  - ABM 'Machines: run injector' ......................  |        44 |       716 |       206 |   0.1 |   4.8 |   1.6
  - globalstep[1] .....................................  |         1 |        59 |         1 |   0.0 |   3.2 |   0.1
  - ABM 'Machines: timeout check' .....................  |       335 |      8491 |      1151 |   1.2 |  16.4 |   8.3
  - on_dieplayer[1] ...................................  |         1 |         1 |         1 |   0.0 |   0.0 |   0.0
  - on_dignode[1] .....................................  |         3 |        72 |        14 |   0.0 |   1.9 |   0.4
  - on_placenode[1] ...................................  |         2 |        32 |         6 |   0.0 |   0.8 |   0.2
  - ABM 'Switching Station' ...........................  |      1329 |     49695 |      8103 |  12.3 |  90.7 |  51.2
  - on_player_receive_fields[1] .......................  |         1 |        10 |         2 |   0.0 |   0.3 |   0.0
  - ABM 'Machines: re-enable check' ...................  |         8 |       244 |        29 |   0.0 |   2.2 |   0.2
 fire:                                                   |         0 |      2897 |        27 |   0.0 |  35.0 |   0.5
  - globalstep[1] .....................................  |         1 |      2897 |        27 |   0.0 |  35.0 |   0.5
 areas:                                                  |         1 |      2839 |        90 |   0.0 |  64.6 |   3.1
  - globalstep[1] .....................................  |         1 |      2839 |        90 |   0.0 |  64.6 |   3.1
  - on_protection_violation[1] ........................  |        60 |       138 |        88 |   1.5 |   4.4 |   2.6
  - on_punchnode[1] ...................................  |         2 |       105 |        11 |   0.0 |   4.3 |   0.4
 advtrains_train_japan:                                  |         0 |       415 |         0 |   0.0 |  25.8 |   0.0
  - on_step[2] ........................................  |        25 |       212 |       101 |   0.3 |  13.9 |   4.5
  - get_staticdata[2] .................................  |        16 |        17 |        16 |   0.0 |   0.4 |   0.2
  - on_activate[1] ....................................  |        12 |        12 |        12 |   0.0 |   0.0 |   0.0
  - on_step[1] ........................................  |        58 |       316 |       144 |   0.3 |  19.6 |   6.9
  - get_staticdata[1] .................................  |        10 |        11 |        10 |   0.0 |   0.3 |   0.1
  - on_activate[2] ....................................  |         4 |         4 |         4 |   0.0 |   0.0 |   0.0
 farming:                                                |         0 |       848 |         0 |   0.0 |   9.2 |   0.0
  - ABM[2] ............................................  |        15 |       320 |        64 |   0.2 |   9.2 |   1.8
  - ABM[1] ............................................  |       848 |       848 |       848 |   5.7 |   5.7 |   5.7
 bow:                                                    |         1 |      5315 |        58 |   0.0 |  45.7 |   1.9
  - globalstep[1] .....................................  |         1 |      5315 |        58 |   0.0 |  45.7 |   1.9
 creative:                                               |         0 |        95 |         0 |   0.0 |   2.2 |   0.0
  - on_placenode[1] ...................................  |         2 |        95 |         8 |   0.0 |   2.2 |   0.2
 currency:                                               |         1 |       551 |         3 |   0.0 |  15.7 |   0.1
  - globalstep[1] .....................................  |         1 |       116 |         2 |   0.0 |   7.6 |   0.1
  - on_placenode[1] ...................................  |         3 |        95 |         8 |   0.0 |   1.0 |   0.2
  - on_player_receive_fields[1] .......................  |         1 |        11 |         1 |   0.0 |   0.1 |   0.0
  - on_dignode[1] .....................................  |         3 |       550 |        28 |   0.0 |  15.7 |   0.7
 travelnet:                                              |         0 |         6 |         0 |   0.0 |   0.4 |   0.0
  - on_player_receive_fields[1] .......................  |         1 |         6 |         1 |   0.0 |   0.4 |   0.0
 digtron:                                                |         0 |       241 |         0 |   0.0 |   4.8 |   0.0
  - on_activate[5] ....................................  |        91 |       173 |       132 |   0.9 |   2.3 |   1.6
  - on_player_receive_fields[1] .......................  |         2 |       103 |         6 |   0.0 |   4.8 |   0.2
  - get_staticdata[1] .................................  |        15 |       192 |        82 |   0.1 |   1.1 |   0.6
 unifieddyes:                                            |         0 |        51 |         0 |   0.0 |   2.2 |   0.0
  - on_player_receive_fields[1] .......................  |         1 |        18 |         3 |   0.0 |   0.4 |   0.1
