Values below show absolute/relative times spend per server step by the instrumented function.
A total of 20620 samples were taken


 instrumentation                                         |    min µs |    max µs |    avg µs | min % | max % | avg %
-------------------------------------------------------- | --------- | --------- | --------- | ----- | ----- | ------
 ccompass:                                               |        35 |     30328 |       436 |   0.0 |  76.2 |   6.5
  - globalstep[1] .....................................  |        35 |     30328 |       436 |   0.0 |  76.2 |   6.5
  - on_player_receive_fields[1] .......................  |         1 |         4 |         1 |   0.0 |   0.1 |   0.0
 mobs_fish:                                              |         0 |     10369 |        20 |   0.0 |  48.9 |   0.3
  - on_step[2] ........................................  |         1 |     10248 |        22 |   0.0 |  43.3 |   0.4
  - on_activate[2] ....................................  |        40 |       259 |        74 |   0.0 |   1.4 |   0.4
  - on_activate[1] ....................................  |        45 |        80 |        59 |   0.0 |   0.4 |   0.2
  - ABM 'mobs_fish:tropical spawning' .................  |        41 |      1296 |       298 |   0.0 |   5.7 |   1.3
  - get_staticdata[1] .................................  |         7 |       441 |       145 |   0.0 |   2.2 |   0.5
  - on_step[1] ........................................  |         1 |      8008 |        19 |   0.0 |  48.7 |   0.3
  - get_staticdata[2] .................................  |        15 |       593 |       153 |   0.0 |   2.8 |   0.7
  - ABM 'mobs_fish:clownfish spawning' ................  |        15 |       795 |       164 |   0.0 |   4.3 |   0.7
 spacesuit:                                              |         0 |      9890 |        12 |   0.0 |  32.8 |   0.1
  - globalstep[1] .....................................  |         1 |      9890 |        12 |   0.0 |  32.8 |   0.1
 unified_inventory:                                      |         5 |     27945 |        52 |   0.0 |  78.9 |   0.6
  - on_leaveplayer[1] .................................  |         2 |         4 |         3 |   0.0 |   0.0 |   0.0
  - on_player_receive_fields[2] .......................  |         1 |     10243 |        75 |   0.0 |  30.7 |   0.3
  - on_player_receive_fields[3] .......................  |         1 |      2400 |        56 |   0.0 |  22.2 |   0.4
  - on_joinplayer[3] ..................................  |         5 |        20 |         7 |   0.0 |   0.0 |   0.0
  - globalstep[1] .....................................  |         5 |     11461 |        29 |   0.0 |  58.4 |   0.5
  - on_joinplayer[2] ..................................  |       198 |      9781 |      1478 |   0.4 |  18.8 |   2.7
  - on_joinplayer[1] ..................................  |      9839 |     23084 |     14698 |   8.6 |  52.0 |  36.4
  - on_leaveplayer[2] .................................  |         3 |         5 |         4 |   0.0 |   0.1 |   0.0
  - on_player_receive_fields[4] .......................  |         1 |       510 |        33 |   0.0 |  12.0 |   0.4
  - on_player_receive_fields[1] .......................  |         6 |     16895 |       865 |   0.0 |  78.4 |   5.5
  - on_joinplayer[4] ..................................  |      2315 |      3809 |      2791 |   1.4 |  10.6 |   7.1
 mesecons_detector:                                      |         0 |       226 |         1 |   0.0 |   1.0 |   0.0
  - ABM[4] ............................................  |        23 |       226 |        50 |   0.0 |   1.0 |   0.2
 xpanes:                                                 |         0 |      7556 |        22 |   0.0 |  32.7 |   0.2
  - on_placenode[1] ...................................  |         9 |      5614 |       514 |   0.0 |  27.4 |   3.0
  - on_dignode[1] .....................................  |         7 |      3500 |       205 |   0.0 |  32.7 |   1.8
 pipeworks:                                              |        13 |     81984 |      2388 |   0.0 |  95.3 |  29.9
  - globalstep[1] .....................................  |         1 |     81897 |      2327 |   0.0 |  95.3 |  29.2
  - ABM 'Vacuum tubes' ................................  |        13 |      6471 |        92 |   0.0 |  18.6 |   0.3
  - on_activate[1] ....................................  |         1 |       255 |         5 |   0.0 |   1.4 |   0.0
  - get_staticdata[1] .................................  |         1 |       492 |        10 |   0.0 |   2.5 |   0.1
  - on_player_receive_fields[1] .......................  |         1 |       679 |        26 |   0.0 |   9.6 |   0.4
  - globalstep[2] .....................................  |         5 |      9172 |        58 |   0.0 |  63.2 |   0.8
 worldedit_commands:                                     |         0 |       383 |         0 |   0.0 |   2.9 |   0.0
  - on_punchnode[1] ...................................  |         2 |       381 |         5 |   0.0 |   2.9 |   0.1
  - on_player_receive_fields[1] .......................  |         1 |       118 |         3 |   0.0 |   0.7 |   0.0
  - on_punchnode[2] ...................................  |         1 |        90 |         4 |   0.0 |   2.1 |   0.1
 wieldview:                                              |         0 |      2837 |         4 |   0.0 |  33.8 |   0.1
  - globalstep[1] .....................................  |         1 |      2837 |         4 |   0.0 |  33.8 |   0.1
  - on_joinplayer[1] ..................................  |         3 |         6 |         4 |   0.0 |   0.0 |   0.0
 atm:                                                    |         0 |      5633 |         5 |   0.0 |  24.0 |   0.1
  - globalstep[1] .....................................  |         1 |      5340 |         2 |   0.0 |  24.0 |   0.0
  - on_player_receive_fields[1] .......................  |         1 |       829 |         9 |   0.0 |  11.7 |   0.1
  - on_joinplayer[1] ..................................  |      2443 |      5632 |      3830 |   3.1 |  13.9 |   9.2
 wine:                                                   |         0 |         7 |         0 |   0.0 |   0.0 |   0.0
  - ABM 'Barrel fermentation' .........................  |         7 |         7 |         7 |   0.0 |   0.0 |   0.0
 technic_worldgen:                                       |         0 |    479150 |       211 |   0.0 |  90.8 |   0.1
  - on_generated[1] ...................................  |     31123 |    479150 |    126855 |  16.1 |  90.8 |  70.2
 technic:                                                |         1 |   2947798 |      1963 |   0.0 |  99.8 |   4.3
  - on_player_receive_fields[2] .......................  |         1 |        88 |         1 |   0.0 |   0.8 |   0.0
  - ABM 'Switching Station' ...........................  |       120 |   2946155 |     23660 |   0.3 |  99.7 |  48.5
  - ABM 'Machines: run injector' ......................  |        33 |      9873 |       461 |   0.0 |  13.5 |   1.6
  - globalstep[1] .....................................  |         1 |       506 |         2 |   0.0 |  26.6 |   0.0
  - ABM 'Radiation damage' ............................  |        15 |      9064 |       223 |   0.0 |  24.9 |   0.9
  - ABM 'Machines: timeout check' .....................  |        23 |     15072 |      1182 |   0.0 |  28.9 |   4.2
  - on_dignode[1] .....................................  |         3 |       347 |        17 |   0.0 |   1.4 |   0.2
  - on_placenode[1] ...................................  |         3 |       138 |        34 |   0.0 |   0.8 |   0.2
  - ABM 'Machines: run coal alloy furnace' ............  |        23 |      8215 |        80 |   0.0 |  27.1 |   0.3
  - on_player_receive_fields[1] .......................  |         1 |       181 |         3 |   0.0 |   2.8 |   0.0
  - ABM 'Machines: re-enable check' ...................  |         5 |      6485 |       108 |   0.0 |  26.5 |   0.4
 fire:                                                   |         0 |     18271 |        47 |   0.0 |  68.1 |   0.5
  - globalstep[1] .....................................  |         1 |     18271 |        47 |   0.0 |  68.1 |   0.5
  - on_leaveplayer[1] .................................  |         1 |       119 |        19 |   0.0 |   1.5 |   0.2
 mesecons:                                               |        20 |    265757 |      4389 |   0.0 |  98.0 |  25.8
  - globalstep[1] .....................................  |        18 |    265756 |      4373 |   0.0 |  98.0 |  25.7
  - on_placenode[1] ...................................  |        14 |     11611 |       356 |   0.0 |  34.1 |   2.2
  - on_dignode[1] .....................................  |        11 |      8011 |       122 |   0.0 |  34.8 |   1.0
  - globalstep[2] .....................................  |         1 |       816 |         2 |   0.0 |  18.3 |   0.0
 datastorage:                                            |         0 |         9 |         0 |   0.0 |   0.1 |   0.0
  - on_leaveplayer[1] .................................  |         4 |         9 |         6 |   0.0 |   0.1 |   0.0
 farming:                                                |         0 |    115761 |        41 |   0.0 |  23.2 |   0.0
  - ABM[1] ............................................  |        15 |      2606 |       312 |   0.0 |  11.5 |   0.8
  - ABM[2] ............................................  |        40 |      6766 |      1190 |   0.1 |  15.6 |   3.9
  - on_generated[1] ...................................  |         2 |    115761 |     20240 |   0.0 |  23.2 |   9.7
 beerchat:                                               |         0 |      2602 |         0 |   0.0 |  15.8 |   0.0
  - on_chat_message[2] ................................  |         2 |         3 |         2 |   0.0 |   0.1 |   0.0
  - /msg ..............................................  |       117 |       488 |       245 |   0.5 |  15.8 |   5.4
  - on_chat_message[3] ................................  |         1 |         2 |         1 |   0.0 |   0.1 |   0.0
  - on_leaveplayer[1] .................................  |         4 |        14 |         7 |   0.0 |   0.1 |   0.0
  - on_chat_message[1] ................................  |        29 |       430 |       148 |   0.1 |   6.6 |   2.0
  - on_chat_message[4] ................................  |        81 |      2528 |       636 |   0.3 |  15.0 |   4.6
