Values below show absolute/relative times spend per server step by the instrumented function.
A total of 195145 samples were taken


 instrumentation                                         |    min µs |    max µs |    avg µs | min % | max % | avg %
-------------------------------------------------------- | --------- | --------- | --------- | ----- | ----- | ------
 mesecons_torch:                                         |         0 |      1163 |         0 |   0.0 |   7.9 |   0.0
  - ABM[1] ............................................  |        42 |      1163 |       331 |   0.2 |   7.9 |   2.0
 ccompass:                                               |         1 |    149951 |       274 |   0.0 |  94.9 |   8.9
  - globalstep[1] .....................................  |         1 |    149951 |       274 |   0.0 |  94.9 |   8.9
  - on_player_receive_fields[1] .......................  |         1 |       238 |         2 |   0.0 |  11.9 |   0.0
 bones:                                                  |         0 |      1384 |         0 |   0.0 |  38.4 |   0.0
  - on_dieplayer[1] ...................................  |        14 |      1384 |       439 |   0.3 |  38.4 |   9.5
 mobs_fish:                                              |         0 |      9214 |         2 |   0.0 |  89.2 |   0.1
  - on_step[2] ........................................  |         2 |      2319 |        21 |   0.0 |  32.0 |   0.5
  - ABM 'mobs_fish:clownfish spawning' ................  |         7 |      1275 |       176 |   0.0 |  14.6 |   2.0
  - on_activate[2] ....................................  |        37 |       280 |       105 |   0.0 |   2.9 |   1.0
  - ABM 'mobs_fish:tropical spawning' .................  |         9 |      1263 |       199 |   0.0 |  21.6 |   2.5
  - on_activate[1] ....................................  |        53 |       487 |       133 |   0.1 |  12.3 |   2.3
  - on_step[1] ........................................  |         1 |      9214 |        28 |   0.0 |  89.2 |   1.0
  - get_staticdata[1] .................................  |        11 |      2571 |       304 |   0.0 |  34.5 |   4.8
  - get_staticdata[2] .................................  |         6 |       984 |       207 |   0.0 |  13.6 |   2.4
 spacesuit:                                              |         0 |     15987 |        15 |   0.0 |  83.3 |   0.4
  - globalstep[1] .....................................  |         1 |     15987 |        15 |   0.0 |  83.3 |   0.4
 unified_inventory:                                      |         1 |     53587 |        31 |   0.0 |  94.6 |   0.8
  - on_leaveplayer[1] .................................  |         3 |        11 |         4 |   0.0 |   0.4 |   0.1
  - on_player_receive_fields[2] .......................  |         2 |     15577 |        68 |   0.0 |  80.4 |   0.6
  - on_player_receive_fields[3] .......................  |         1 |      4098 |       194 |   0.0 |  60.3 |   3.3
  - on_joinplayer[3] ..................................  |         5 |        88 |        11 |   0.0 |   0.2 |   0.0
  - globalstep[1] .....................................  |         1 |     17692 |        19 |   0.0 |  86.5 |   0.7
  - on_joinplayer[2] ..................................  |       272 |     32804 |      4156 |   1.0 |  43.6 |   7.0
  - on_joinplayer[1] ..................................  |     10664 |     32526 |     15583 |  19.1 |  60.6 |  41.4
  - on_leaveplayer[2] .................................  |         3 |        70 |        10 |   0.0 |   1.8 |   0.3
  - on_player_receive_fields[4] .......................  |         1 |       577 |        36 |   0.0 |  22.8 |   0.7
  - on_player_receive_fields[1] .......................  |         5 |     50244 |      1028 |   0.0 |  94.3 |  11.0
  - on_joinplayer[4] ..................................  |      2188 |      4263 |      2919 |   4.4 |  12.9 |   7.9
 mesecons_detector:                                      |         0 |      8430 |         1 |   0.0 |  73.9 |   0.0
  - ABM[4] ............................................  |        13 |      1754 |        41 |   0.0 |  25.0 |   0.3
  - ABM[1] ............................................  |        10 |      8412 |        52 |   0.0 |  20.4 |   0.7
  - ABM[3] ............................................  |        15 |      7144 |        62 |   0.0 |  73.9 |   0.8
  - ABM[2] ............................................  |        20 |      7497 |        81 |   0.0 |  39.0 |   0.5
 xpanes:                                                 |         0 |     14812 |         8 |   0.0 |  85.3 |   0.2
